id,order,le_type,as_type,title,description,date start,date finish,list of domain ids,image file name,video_url,caption
1869,,LE,,"<p>The Descent of Inanna to the Underworld</p>
","<p>Students examine&nbsp;&ldquo;The Descent of Inanna&rdquo;&nbsp;as a&nbsp;dominant literary example of the Arithmetic Mentality&nbsp;that portrays&nbsp;multifaceted religious rituals.&nbsp;</p>
",,,1|4|3,,,
1870,,LE,,"<p>Inanna and the&nbsp;<em>Huluppu</em>-Tree</p>
","<p>In this final Inanna myth, students explore a narrative in which Inanna is portrayed in a weak light.</p>
",,,1|8,,,
1871,,LE,,"<p><em>The Epic of Gilgamesh</em></p>
","<p>As students read&nbsp;<em>The Epic of&nbsp;Gilgamesh</em>,&nbsp;they&nbsp;explore the tension between matristic and patriarchal systems of authority during the Arithmetic Mentality.</p>
",,,1|3|7|8,,,
1872,,AS,FO,"<p><em>The Epic of Gilgamesh</em>&nbsp;Reading Comprehension Quizzes</p>
","<p>Students complete quizzes to demonstrate their comprehension of&nbsp;<em>The Epic of Gilgamesh.</em></p>
",,,1,,,
1873,,LE,,"<p>The Myth of Isis and Osiris</p>
","<p>Students read the Egyptian myth of Isis and Osiris as a representation of the transition from matristic villages to patriarchal cities&nbsp;of civilization.</p>
",,,1|4,,,
1874,,LE,,"<p>Lao-Tzu&rsquo;s&nbsp;<em>Tao Te Ching</em>&nbsp;and the Attempt to Retrieve the Eternal Feminine</p>
","<p>Students examine the&nbsp;Tao Te Ching&nbsp;as a swan song for the anarchic, prestate values of the Eternal Feminine and the creative and generative power of the Tao.</p>
",,,1|3,,,
1875,,AS,FO,"<p>Engaging with the&nbsp;<em>Tao Te Ching</em></p>
","<p>Students read and annotate the&nbsp;<em>Tao Te Ching</em>.&nbsp;They&nbsp;then show their personal understanding of the text in chosen forms.</p>
",,,1,,,
1876,,AS,SU,"<p>A Final Look at the Arithmetic Mentality</p>
","<p>Students revisit their understanding of the Arithmetic Mentality, connecting its attributes to literature read during the unit.&nbsp;</p>
",,,1|4|3|7|8,,,
1877,,LE,,"<p>Samson and Delilah: The Shift from the Arithmetic to Geometric Mentality</p>
","<p>Students read the Old Testament story of Samson and Delilah to examine a narrative about a threatened people on the cusp of a bifurcation of mentalities.</p>
",,,1|3|7,,,
1878,,LE,,"<p><em>Enuma Elish</em>: The Babylonian Creation Story</p>
","<p>After having read the story of Samson and Delilah in the previous learning experience,&nbsp;students read&nbsp;<em>Enuma Elish</em>&nbsp;as a formative literary milestone of the Geometric Mentality.</p>
",,,1|3,,,
1879,,LE,,"<p>Examining Homer&rsquo;s&nbsp;<em>The&nbsp;Iliad</em>&nbsp;and Tales Surrounding the Trojan War</p>
","<p>Students revisit storylines concerning the Trojan War and examine themes of love and death in Homer&rsquo;s epic,&nbsp;<em>The Iliad</em>.</p>
",,,1|3,,,
1880,,LE,,"<p>Evolution of Athenian Society: Aeschylus&rsquo;s&nbsp;<em>Agamemnon</em></p>
","<p>While placing the play and playwright in the proper historical context, students engage in a close reading of the first play of Aeschylus&rsquo;s&nbsp;<em>Oresteia</em>&nbsp;trilogy.</p>
",,,1|6,,,
1881,,LE,,"<p>Development of Tragedy: Aeschylus&rsquo;s&nbsp;<em>Choephori</em>&nbsp;(Libation Bearers)</p>
","<p>Students continue their study of the&nbsp;<em>Oresteia&nbsp;</em>with an examination of the&nbsp;<em>Choephori&nbsp;</em>and the development&nbsp;of theater in classical Athens.&nbsp;</p>
",,,1|3|7|6,,,
1882,,LE,,"<p>Justice in the Theater: Aeschylus&rsquo;s&nbsp;<em>Eumenides</em>&nbsp;(Furies)</p>
","<p>In the final play of the&nbsp;<em>Oresteia</em>&nbsp;trilogy, students examine how the social and moral dilemmas presented in the earlier two plays are resolved.</p>
",,,1|3|7|6,,,
1883,,AS,SU,"<p>Classical Greece and the Geometric Mentality Research Paper</p>
","<p>After reading the&nbsp;<em>Oresteia,&nbsp;</em>students complete integrative research concerning aspects of the trilogy and its historical and cultural context. They ultimately craft a five-page essay on one or more themes.</p>
",,,1|4|3|7|6,,,
1884,,LE,,"<p>Plato&rsquo;s&nbsp;<em>Timaeus</em>: Bringing Structure to the World</p>
","<p>Students read&nbsp;and discuss the famous dialogue in which Plato establishes the idea of perfect forms.&nbsp;</p>
",,,1|4|3,,,
1885,,LE,,"<p>The Chinese: Introduction to&nbsp;<em>The Book of Songs</em></p>
","<p>Students examine poetry from&nbsp;<em>The</em>&nbsp;<em>Book of Songs&nbsp;</em>that&nbsp;reflects Chinese cultural values during the time of Confucius.</p>
",,,1,,,
1886,,AS,FO,"<p>Exploring China&#39;s Past Through<em>&nbsp;The Book of Songs</em></p>
","<p>Students read poems from&nbsp;<em>The</em>&nbsp;<em>Book of Songs,&nbsp;</em>annotating and providing titles for each.&nbsp;</p>
",,,1,,,
1887,,LE,,"<p>Confucius&rsquo;s&nbsp;<em>The&nbsp;Analects</em></p>
","<p>Students annotate and discuss their interpretations of&nbsp;<em>The</em>&nbsp;<em>Analects</em>&nbsp;in order to make inferences about the Confucian belief system.</p>
",,,1|3,,,
1888,,AS,SU,"<p>Confucius&rsquo;s&nbsp;<em>The Analects</em>&nbsp;Short Paper</p>
","<p>Students write a short essay drawing on the rules of personal and political conduct that originate in&nbsp;<em>The&nbsp;Analects</em>.&nbsp;</p>
",,,1,,,
1889,,LE,,"<p>The Revelation of Muhammad: Exploring the Qur&rsquo;an</p>
","<p>Students explore the creation of the Qur&rsquo;an, including its revelations and calligraphic code, as a formative work of the Algebraic Mentality and read several suras as an introduction to this religious text.</p>
",,,1,,,
1890,,LE,,"<p>Gorgani&rsquo;s&nbsp;<em>Vis and Ramin</em></p>
","<p>This Persian romance, nostalgic for the Pre-Islamic rule, sets benchmarks for chivalric and courteous lovers.</p>
",,,1,,,
1891,,AS,FO,"<p><em>Vis and Ramin&nbsp;</em>Reading Comprehension Quizzes</p>
","<p>Students complete short-answer quizzes to access their essential understanding of the plot of&nbsp;<em>Vis and Ramin.</em></p>
",,,,,,
1892,,AS,SU,"<p><em>Vis and Ramin</em>&nbsp;Thoughts on Romantic Love Essay</p>
","<p>Drawing on their reading and discussion of the text, student compose persuasive essays in which they explore the strengths and weaknesses inherent in romantic love.</p>
",,,1,,,
1893,,LE,,"<p>Nizami&rsquo;s&nbsp;Story of<em> Layla and Majnun</em></p>
","<p>Students read an abridgement of Nizami&rsquo;s romance of mad love, noting Gorgani&rsquo;s influence, as well as its importance to later European texts.</p>
",,,1,,,
1894,,LE,,"<p><em>Tristan and Isolde</em>: Once More with Feeling</p>
","<p>Students trace many components of&nbsp;<em>Vis and Ramin</em>&nbsp;in this tale, and examine the ending of the narrative for significance.</p>
",,,1|6,,,
1895,,LE,,"<p>The Rise of Troubadour Poetry</p>
","<p>Students read exemplars of this form that originates in southern France and was influenced by earlier Islamic romances.</p>
",,,1|6,,,
1896,,LE,,"<p><em>Le Morte Arthur</em></p>
","<p>Romantic love becomes an allegorical code in this telling of the illicit love of Guinevere and Lancelot and the death of King Arthur.</p>
",,,1,,,
1897,,AS,FO,"<p><em>Le Morte Arthur</em>&nbsp;Reading Comprehension Quizzes</p>
","<p>Students complete short-answer quizzes to access their essential understanding of the Arthurian legend&rsquo;s plot.</p>
",,,1,,,
1898,,AS,SU,"<p>Essay on Courtly Love and Marie de France&rsquo;s&nbsp;&ldquo;<em>La&uuml;stic</em>&rdquo;</p>
","<p>Students cite specific examples of courtly love in one of the poems of Marie de France.</p>
",,,1,,,
1899,,LE,,"<p>Dante&rsquo;s&nbsp;<em>Vita Nuova</em>&nbsp;and&nbsp;<em>Divine Comedy</em>: Cosmic Allegory</p>
","<p>By reading his &ldquo;Letter to&nbsp;<em>Can Grande</em>&rdquo; and reexamining the&nbsp;<em>Divine Comedy</em>, students explore how Dante completes the shift from courtly romantance to cosmic love.</p>
",,,1,,,
1900,,LE,,"<p>The Advent of the Picaresque Novel</p>
","<p>Students reacquaint themselves with picaresque fiction by reading and discussing examples of the form.</p>
",,,1,,,
1901,,LE,,"<p>Descartes&rsquo;s&nbsp;<em>A&nbsp;Discourse on the Method</em>: A&nbsp;Picaresque Philosophy</p>
","<p>Students apply their knowledge of the picaresque narrative as they read and interpret Descartes&rsquo;s intellectual search for truth.</p>
",,,1|4|3,,,
1903,,LE,,"<p>Melville&rsquo;s&nbsp;<em>Moby-Dick</em>: Introduction, Characters, and Setting</p>
","<p>Students are reintroduced to the literary form of the novel and get acquainted with Melville&rsquo;s&nbsp;<em>Moby-Dick</em>.</p>
",,,1,,,
1904,,LE,,"<p>Melville&rsquo;s&nbsp;<em>Moby-Dick</em>: Captains, Crew, and Quest</p>
","<p>Character&nbsp;roles and motivations become&nbsp;central to students&rsquo; study of&nbsp;<em>Moby-Dick</em>.</p>
",,,1,,,
1905,,AS,FO,"<p>&quot;The Whiteness of the Whale&quot; Assessment</p>
","<p>This written assessment addresses Ishmael&rsquo;s meditations on the many meanings of the term &ldquo;white,&rdquo;&nbsp;among other key ideas in Chapter 42 of&nbsp;<em>Moby-Dick</em>.</p>
",,,1,,,
1906,,AS,FO,"<p><em>Moby-Dick</em>&nbsp;Oral Presentations</p>
","<p>In formal presentations, students present&nbsp;about select&nbsp;chapters of Melville&rsquo;s masterpiece to one another, focusing on philosophical and factual content.</p>
",,,1|4,,,
1907,,LE,,"<p>Melville&rsquo;s&nbsp;<em>Moby-Dick</em>: Pursuits of Whaling</p>
","<p>Students continue their reading&nbsp;of&nbsp;<em>Moby-Dick</em>, focusing on the conflicting views of Starbuck and Ahab over the purpose of the voyage, among other topics.</p>
",,,1|4,,,
1908,,LE,,"<p>Melville&rsquo;s&nbsp;<em>Moby-Dick</em>: The Final Journey</p>
","<p>Students complete their reading of&nbsp;<em>Moby-Dick</em>&nbsp;and examine contemporary connections to the work.</p>
",,,1|4,,,
1909,,LE,,"<p>Modern Writing Styles: The Shift from Hypotaxis to Parataxis</p>
","<p>Students learn that the shift of popular writing styles from controlled&nbsp;to spontaneous coincides with the arts&rsquo; increasing allowance for interpretation.</p>
",,,1,,,
1910,,LE,,"<p>Imagism and Ezra Pound&rsquo;s &ldquo;In a Station of the Metro&rdquo;</p>
","<p>Students examine the complexity of one of Pound&rsquo;s short poems to determine how Imagism works.</p>
",,,1,,,
1911,,LE,,"<p>Introduction to Ezra Pound&rsquo;s&nbsp;<em>The Cantos</em></p>
","<p>By applying Pound&rsquo;s use of overlaying texts, students explore the opening Canto (and related influences) of Pound&rsquo;s masterwork.</p>
",,,1,,,
1912,,LE,,"<p>Modernist Poets: Gertrude Stein and T.S. Eliot</p>
","<p>After studying Pound, students examine how two more modern poets manipulate sources and styles to reinvent them.</p>
",,,1,,,
1913,,LE,,"<p>T. S. Eliot&rsquo;s&nbsp;<em>The Waste Land</em>: &ldquo;The Burial of the Dead&rdquo;</p>
","<p>Students are introduced to Eliot&rsquo;s masterpiece through a close reading of the opening section.&nbsp;</p>
",,,1,,,
1914,,AS,SU,"<p>Presenting&nbsp;<em>The Waste Land</em></p>
","<p>Students continue their study of&nbsp;<em>The Waste Land</em>&nbsp;through a presentation of the remaining sections.</p>
",,,1,,,
1915,,LE,,"<p>Arthur C. Clarke&rsquo;s&nbsp;<em>Childhood&rsquo;s End</em>, Part One: The Overlords Arrive</p>
","<p>To examine the shift from national to planetary cultures and the fear of total annihilation due to the nuclear bomb, students begin reading Arthur C. Clarke&rsquo;s science fiction classic&nbsp;<em>Childhood&rsquo;s End</em>.</p>
",,,1,,,
1916,,LE,,"<p>Arthur C. Clarke&rsquo;s&nbsp;<em>Childhood&rsquo;s End</em>, Part Two: Establishing a Utopia</p>
","<p>Students continue their reading of the science fiction classic&nbsp;<em>Childhood&rsquo;s End</em>, ruminating on the inherent possibilities and consequences of establishing utopias.</p>
",,,1,,,
1917,,AS,SU,"<p><em>Childhood&rsquo;s End</em>&nbsp;Alien Impact Essay</p>
","<p>Students synthesize their thoughts about the first two parts of&nbsp;<em>Childhood&rsquo;s End</em>&nbsp;in writing.</p>
",,,1,,,
1918,,LE,,"<p>Arthur C. Clarke&rsquo;s&nbsp;<em>Childhood&rsquo;s End</em>, Part Three: New Athens, the Overmind, and the End</p>
","<p>Students complete their reading of&nbsp;<em>Childhood&rsquo;s End</em>, using guiding questions to support their comprehension.</p>
",,,1,,,
1919,,AS,SU,"<p><em>Childhood&rsquo;s End</em>&nbsp;Formal Discussion</p>
","<p>As a final assessment of Arthur C. Clarke&rsquo;s novel, students deliberate on themes in the last section&nbsp;through a formal discussion.</p>
",,,1,,,
1920,,LE,,"<p>Sylvia Plath&rsquo;s&nbsp;<em>The Bell Jar</em>: Electricity, Food, and Fertility</p>
","<p>Students examine the Cold War, the execution of the Rosenbergs as spies, and the McCarthy era through the lens of a sensitive teenage girl in&nbsp;<em>The Bell Jar</em>.</p>
",,,1,,,
1921,,LE,,"<p>Sylvia Plath&rsquo;s&nbsp;<em>The Bell Jar</em>: Nonconformity and Electroshock Treatment</p>
","<p>Students go deeper into Sylvia Plath&rsquo;s novel, exploring the lengths society will go to in order to stamp out nonconformity.</p>
",,,1,,,
1922,,AS,SU,"<p><em>The Bell Jar</em>&nbsp;Final Essay</p>
","<p>Students write a paper in which they analyze an image cluster of their choice in&nbsp;<em>The Bell Jar</em>.</p>
",,,1,,,
1923,,LE,,"<p>Ginsberg&rsquo;s &ldquo;Howl&rdquo; and the Beat Movement</p>
","<p>Students read and discuss the landmark poem &ldquo;Howl&rdquo; while learning about the causes and impact of the Beat movement.</p>
",,,1,,,
1924,,LE,,"<p>Tarkovsky&rsquo;s<em>&nbsp;Solaris</em></p>
","<p>Students watch&nbsp;<em>Solaris</em>, a 1972 Russian film about materialistic astronauts dealing with the possibility of a sentient planet.&nbsp;</p>
",,,1|5,,,
1925,,LE,,"<p><em>Uncanny X-Men</em>: A Path to Planetization</p>
","<p>Through the reading of selected issues of&nbsp;<em>The X-Men</em>, students track how the comic follows and addresses important themes of the Complex Dynamical Mentality.</p>
",,,1|5|7,,,
1926,,LE,,"<p>L&iacute;lia Mompl&eacute;&#39;s&nbsp;<em>Neighbours: The Story of a Murder</em></p>
","<p>Students read this novel, which is set in Mozambique,&nbsp;as a literary example of an emerging people after the dwindling of the Portuguese empire.</p>
",,,1,,,
1927,,AS,SU,"<p><em>Neighbours</em>: <em>The Story of a Murder</em>&nbsp;Letter</p>
","<p>Students write in the voice of one of the characters from&nbsp;<em>Neighbours</em>&nbsp;to show the complexity of competing cultures&nbsp;and the context in which the text was written.&nbsp;</p>
",,,1,,,
1928,,LE,,"<p>Elizabeth Kolbert&rsquo;s&nbsp;<em>The Sixth Extinction</em></p>
","<p>Students read an excerpt from Kolbert&rsquo;s book to learn about the variety of ways humans have manipulated nature and the subsequent possibility of an extinction event.</p>
",,,1|4,,,
1929,,AS,FO,"<p>Welcome to the Anthropocene:&nbsp;<em>The Sixth Extinction</em>&nbsp;Mapped</p>
","<p>Students present and collectively map the various contemporary and historical problems addressed throughout the chapters of Kolbert&rsquo;s book.</p>
",,,1|4,,,
1930,,LE,,"<p><em>World War Z,&nbsp;Snowpiercer</em>, and the Problem with Tragedy</p>
","<p>Through the examination of zombie and apocalyptic films, students explore whether or not the structure of tragedy retards social or planetary action.</p>
",,,1|4|5,,,
1931,,LE,,"<p>Human Narratives of Origins and the Big Bang</p>
","<p>Students learn about the Big Bang Theory as a story about the history of the universe and are given an overview of the timescales and distances involved in modern cosmology.</p>
",,,3,,,
1932,,LE,,"<p>Scientific Evidence for the Big Bang Theory</p>
","<p>Students examine evidence for the Big Bang Theory. Students learn about Hubble&rsquo;s Law and how it is used to describe the distances and velocities of galaxies in the Universe. Cosmic background radiation is discussed as evidence for the Big Bang.</p>
",,,3,,,
1933,,LE,,"<p>Photocopy Big Bang Cosmology Lab</p>
","<p>Students engage in a hands-on exploration of the linear property of Hubble&rsquo;s Law using photocopy enlargement as an analog of cosmic expansion.</p>
",,,3,,,
1934,,LE,,"<p>The History and Emergence of Structure in the Cosmos</p>
","<p>Students explore the large-scale structure of the Universe. Students learn that the motions of galaxies are governed by Newton&rsquo;s laws of motion on a very large scale. The Hertzsprung-Russell diagram is introduced as a method for categorizing stars by their characteristics. Students use Earth&rsquo;s Solar System as a model for the development of a planetary system orbiting a star.</p>
",,,3,,,
1935,,LE,,"<p>Dark Matter and Dark Energy</p>
","<p>Students learn about the concepts of dark matter and dark energy as they relate to the structure of the Universe.</p>
",,,3,,,
1936,,LE,,"<p>Microcosmos: The Very Early Universe</p>
","<p>Students imagine the Universe in the time after the Big Bang, when the Universe was young and hot,&nbsp;and describe what was happening on an atomic level.</p>
",,,3,,,
1937,,LE,,"<p>Fundamental Physics and the Standard Model</p>
","<p>Students develop a basic overview of the particles and forces that make up the modern Standard Model of particle physics, and they address some of the unanswered questions that continue to drive the field.</p>
",,,3,,,
1938,,LE,,"<p>The Anthropic Principle and Unanswered Cosmic Questions</p>
","<p>Students explore the limits of science to answer questions that ask about&nbsp;reasons for&nbsp;the&nbsp;structure of the&nbsp;Universe, and then turn to philosophical considerations about what sorts of explanations are meaningful and useful.</p>
",,,1,,,
1939,,LE,,"<p>The Limits of Science and Reductionism</p>
","<p>Students confront the underlying assumptions of science, and they address the question of whether or not the process of science has limitations. Students reflect on their own philosophical biases, and they explore their own beliefs about the meaning of scientific theories.</p>
",,,1,,,
1940,,AS,SU,"<p>Cosmos Unit Test</p>
","<p>Students complete a written examination that probes their understanding of Big Bang cosmology and associated issues.</p>
",,,3,,,
1941,,LE,,"<p>The Chemical Basis of Life</p>
","<p>Students review the organic chemical underpinnings of life as we know it on Earth. Students develop and refine a working vocabulary of terms that will enable them to discuss various theories about the origin of life.</p>
",,,3,,,
1942,,LE,,"<p>The Second Law of Thermodynamics</p>
","<p>Students review the second law of thermodynamics and discuss its application to living organisms. Students transition from a physics-centered approach to talking about the cosmos to a more biological approach.</p>
",,,3,,,
1943,,LE,,"<p>The Idea of Emergence&nbsp;in Complex Systems</p>
","<p>Students explore the concepts of emergence and self-organization through examples of simple systems that give rise to novel and complex behaviors.</p>
",,,3,,,
1944,,LE,,"<p>The Origins of Life&rsquo;s Chemical Building Blocks</p>
","<p>Students&nbsp;examine the work of Urey and Miller as they attempted to recreate some of the conditions and early chemistry of life on a pre-biotic Earth.&nbsp;</p>
",,,3,,,
1945,,LE,,"<p>Models of the Origin of Life: Chemical Self-Organization</p>
","<p>Students are introduced to ideas about spontaneous self-organization that might bridge the apparent chasm between chemistry and biology. Students look at simple models that try to explain chemical self-organization.</p>
",,,3,,,
1946,,LE,,"<p>From RNA World&nbsp;to the First Cells</p>
","<p>Students examine one currently popular model that attempts to address the shortcomings of replicator-first and metabolism-first accounts of the origin of life and how the first self-replicating DNA molecule arose.</p>
",,,3,,,
1947,,LE,,"<p>The History of Life on Earth: Major Transitions</p>
","<p>Students brainstorm the major turning points in the evolution of life on Earth. Students consider the factors that contributed to the big picture and how they affected the development of life on Earth.</p>
",,,3,,,
1948,,LE,,"<p>Natural Selection and Mechanisms of Evolution</p>
","<p>Students review the basic precepts of natural selection and evolution from a historical perspective and from a modern standpoint.</p>
",,,,,,
1949,,AS,SU,"<p>Life Unit Exam</p>
","<p>Students take a short exam covering concepts from the first part of this unit.</p>
",,,3,,,
1950,,LE,,"<p>The Evolution of Humans: The Big Picture</p>
","<p>Students brainstorm uniquely human qualities and learn about our knowledge of early pre-hominids and the rough timescales for innovations, such as bipedalism, tool&nbsp;use, domestication of fire, and changes in cranial capacity over time.</p>
",,,1,,,
1951,,LE,,"<p>The Human Evolution Lab</p>
","<p>Students explore the evolutionary changes in one particular part of hominid anatomy&mdash;the skull&mdash;as a microcosm of evolution and a narrow lens through which to examine human evolution in particular.</p>
",,,1,,,
1952,,LE,,"<p>What Makes the Primate Brain Special?</p>
","<p>Students learn about the relationship between brain and behavior to understand how and why primates in particular, as a group, were well positioned to make the evolutionary leaps that led to the unique qualities of the human brain and human consciousness.&nbsp;They explore a variety of theories that seek to explain how, why, and when the human brain evolved its special characteristics, and what makes the human brain and mind different form the brains of other primates.</p>
",,,1,,,
1953,,LE,,"<p>What Makes Humans Special? Biocultural Evolution</p>
","<p>Students begin an exploration of the human brain and human consciousness. Students explicitly outline the path from prehominid ancestors to fully-modern humans, not in anatomical terms, but in cultural ones.</p>
",,,1,,,
1954,,LE,,"<p>Neuron Structure and Function</p>
","<p>In this learning experience, students investigate the structure and function of neurons at an overview level. They develop an understanding of the basic vocabulary for talking about neural connectivity and signaling in the brain.</p>
",,,,,,
1955,,LE,,"<p>Neural Networks and Artificial Models of Brain Function</p>
","<p>In this learning experience, students investigate the idea of neural networks at an introductory level. They explore both biological and artificial networks.</p>
",,,3,,,
1956,,LE,,"<p>Structure and Function in the Human Brain</p>
","<p>In this learning experience, students complete an introductory exploration of some basic brain anatomy and are introduced to the idea of functional localization within the brain.</p>
",,,3,,,
1957,,LE,,"<p>Modern Tools for Exploring Brain Anatomy and Function</p>
","<p>Students learn about some of the technology used to explore brain structure and function.</p>
",,,3,,,
1958,,LE,,"<p>Unanswered Questions and Current Directions in Brain Research</p>
","<p>Students identify and discuss some of the most pressing unanswered questions about the brain and human consciousness&nbsp;in this open-ended discussion of the current state of brain research.</p>
",,,3,,,
1959,,AS,SU,"<p>Unit Exam</p>
","<p>Students demonstrate their understanding and level of mastery on the structure and function of the brain by completing this unit assessment.</p>
",,,1|3,,,
1960,,LE,,"<p>Nationalism as Political Ideology</p>
","<p>Students read and discuss an excerpt from&nbsp;<em>The World Since 1500: A Global History</em>&nbsp;by Lefton Stavrianos and spiral back to grade 10 Cultural History content on the development of nationalism as a political ideology.</p>
",,,10,,,
1961,,AS,DI,"<p>Understanding Nationalism</p>
","<p>Students compose written responses to questions from their first reading on nationalism as distributed in the learning experience above.</p>
",,,10,,,
1962,,LE,,"<p>National and Cultural Identities</p>
","<p>Students read excerpts from several scholarly works about nationalism&mdash;nation, state and nation-state&mdash;and write responses to specific questions using a rubric for guidance.</p>
",,,10,,,
1963,,LE,,"<p>National and Cultural Identities: Mazzini and Bismarck</p>
","<p>Students read and complete the &ldquo;Mazzini and Bismarck Project&rdquo; with the &ldquo;Mazzini and Bismarck Project Rubric&rdquo; to develop an understanding of the differences between a&nbsp;<em>nation,</em>&nbsp;<em>state,</em>&nbsp;and&nbsp;<em>nation-state</em>&nbsp;and the concept of&nbsp;<em>imagined community</em>&nbsp;among the Italian and German peoples of the 19th century.</p>
",,,10,,,
1964,,AS,FO,"<p>Sectionalism as Nationalism?</p>
","<p>Using their understanding of nationalism, students explore differences that led to &ldquo;sectionalism&rdquo; in the United States during the Antebellum Period. They form opinions on national identity gleaned from excerpts on southern nationalism and slavery and discuss how these led to secession and the Civil War.</p>
",,,10,,,
1965,,AS,FO,"<p>Civil War Letters</p>
","<p>Students examine letters from James McPherson&rsquo;s&nbsp;<em>For Cause and Comrades: Why Men Fought in the Civil War</em>. Students respond with reflective paragraphs comparing Northern and Southern soldiers&rsquo; attitudes and motivations for enlisting and fighting.</p>
",,,10,,,
1966,,AS,FO,"<p>Nationalism Quiz</p>
","<p>Students view a film about nationalism in the 20th century and compare it to what they have learned about nationalism in the 19th century to prepare for the &ldquo;Nationalism Quiz.&rdquo;</p>
",,,10|5,,,
1967,,LE,,"<p>The Effects of Colonization in the New Imperialism</p>
","<p>Students read excerpts from<em>&nbsp;The Earth and Its Peoples, Volume II: Since 1500</em>&nbsp;and consider the concept of Social Darwinism when exploring the projection of Western society&rsquo;s culture and conventions around the world as part of the New Imperialism in the mid-19th to early 20th centuries.</p>
",,,10|4,,,
1968,,LE,,"<p>Responses to New Imperialism: Asia and Africa</p>
","<p>Students form teams to develop written strategies of Asian and African resistance to Western intrusion and share these strategies with other teams for peer review.</p>
",,,10|6,,,
1969,,AS,FO,"<p>New Imperialism Quiz</p>
","<p>Students take a quiz covering lessons from the second portion of this unit and use this time to prepare for the upcoming Integrated Project: &ldquo;The Visionary Leaders Trial Project.&rdquo;</p>
",,,10,,,
1971,,AS,FO,"<p>Tradition and Modernity in Britain&mdash;and Around the World</p>
","<p>Students explore the concepts of&nbsp;<em>modern</em>&nbsp;and&nbsp;<em>modernization</em>&nbsp;by discussing a debate over traditional practices in the British House of Lords before researching and writing about the concepts of tradition and modernization in a culture of their choosing.</p>
",,,10,,,
1972,,AS,FO,"<p>The Modern Consciousness</p>
","<p>Reflecting on a reading, students answer questions about late 19th- and early 20th-century intellectual and artistic trends.</p>
",,,10|7,,,
1973,,AS,DI,"<p>From Traditional to Modern</p>
","<p>Students compare characteristics of traditional (premodern) and modern life, revisiting content learned in grades 9 and 10 and discussing the dynamics of modernization in Europe.</p>
",,,10|7,,,
1974,,AS,FO,"<p>Tradition and Modernity in Kyrgyzstan</p>
","<p>After reading a short article on the tensions between traditional and modern life in contemporary Kyrgyzstan, students answer questions.</p>
",,,10|5|7,,,
1975,,LE,,"<p>Achievements of Modernity&mdash;Paris, Modern City par Excellence</p>
","<p>Students consider the shift from the Dynamical Mentality to the Complex Dynamical Mentality by looking at the achievements and contradictions of modernity through the experience of everyday life in Baron Haussmann&rsquo;s redesigned Paris&mdash;the modern city&nbsp;<em>par excellence</em>. They are also introduced to the Modernity Project, which is the culminating project for this unit.</p>
",,,10|4|7|8,,,
1976,,AS,FO,"<p>Modernity and Everyday Life&mdash;Marx</p>
","<p>Students read excerpts on socialism and answer questions with short written work.</p>
",,,10,,,
1977,,AS,FO,"<p>Modernity and Everyday Life&mdash;Zola</p>
","<p>Students reflect on the dark side of modernity following a viewing of the first 25 minutes of the film&nbsp;<em>Germinal</em>.</p>
",,,10,,,
1978,,LE,,"<p>Modernity in Philosophy: Nietzsche, Einstein, and Freud</p>
","<p>Students explore modern secularism and philosophy in discussing the decline of religiosity in the 19th century and Nietzsche&rsquo;s notion that &ldquo;God is dead.&rdquo;</p>
",,,10,,,
1979,,AS,FO,"<p>Modernity&mdash;Reflections</p>
","<p>Students have an opportunity to process modernity as discussed to date in a whole-class discussion for which they must prepare reflections.</p>
",,,10|4|3|7,,,
1980,,LE,,"<p>Modernity and World War I</p>
","<p>Students study World War I as the opening of a great gap between what Europeans expected from modernity and what actually happened. Readings and discussion focus on the disillusionment and devastation of Western society&rsquo;s view of itself and offer an opportunity for revision to their thinking about modernity for their Modernity Project.</p>
",,,10,,,
1981,,AS,FO,"<p>The Trauma of the Trenches</p>
","<p>Students inspect advertisements, posters, cartoons, and paintings of the period 1914&ndash;1922 in order to identify and discuss the salient themes and motifs.</p>
",,,10|7,,,
1983,,LE,,"<p>Self-Determination and the Peace Process</p>
","<p>The unit begins with a role-playing activity that enables students to explore the post-World War I settlement worked out at the Paris Peace Conference.</p>
",,,10,,,
1984,,AS,FO,"<p>The Middle East After World War I</p>
","<p>Students apply what they have learned about self-determination following World War I by responding to primary documents related to the collision of great power goals and nationalist aspirations in the Middle East.</p>
",,,10,,,
1985,,AS,FO,"<p>Self-Determination and Anti-Colonialism</p>
","<p>Through studying Gandhi&rsquo;s independence movement in India, students assess their understanding of self-determination as an internationalist principle.</p>
",,,10,,,
1986,,LE,,"<p>Self-Interest and Economic Excess: Predictive Analysis</p>
","<p>In this learning experience, students examine the world market economy as another example of increasing global self-consciousness.</p>
",,,10|3|5|7,,,
1987,,AS,SU,"<p>Excesses of Nationalism:&nbsp;Fascism, Hyper-Nationalism, and Totalitarianism</p>
","<p>Teams of students work to role-play journalists reporting on political events of the 1930s.</p>
",,,10|5|6,,,
1988,,LE,,"<p>Divided We Fall</p>
","<p>​In this learning experience, students confront the brutality of war through film, readings, and discussions&nbsp;and reflect on their personal response to an atrocity or human rights violation.</p>
",,,10|5,,,
